select|Select|CAD|CSC|Stock #|OD (in)|ID (in)|Free Length(in)|Rate (lbs/in)|Sugg. Max Defl (in)|Sugg. Max Load (lbs)|Solid Length (in)|Wire Dia. (in)|Total Coils|Material|Ends|Finish|
||171-A|0.250|1.500|0.070|0.040|9.400|0.710|0.015|Music Wire|Zinc|
||S-531|0.250|1.500|0.130|0.060|5.100|0.700|0.017|Stainless|None|
||559|0.250|1.780|0.040|0.030|15.000|0.640|0.014|Music Wire|Zinc|
||171-B|0.250|1.880|0.050|0.040|13.000|0.710|0.015|Music Wire|Zinc|
||S-537|0.250|1.880|0.090|0.060|7.000|0.700|0.017|Stainless|None|
||S-542|0.250|2.130|0.080|0.060|8.300|0.700|0.017|Stainless|None|
||171-C|0.250|2.500|0.040|0.040|17.000|0.710|0.015|Music Wire|Zinc|
||B17-129|0.281|2.500|0.030|0.030|22.000|0.630|0.015|Music Wire|Zinc|
||184-A|0.312|1.500|0.050|0.030|13.000|0.690|0.016|Music Wire|Zinc|
||184-B|0.312|1.880|0.040|0.030|17.000|0.690|0.016|Music Wire|Zinc|
||184-C|0.312|2.500|0.030|0.030|24.000|0.690|0.016|Music Wire|Zinc|
||5766|0.156|0.750|0.260|0.040|2.300|0.640|0.012|Music Wire|Zinc|
||80019S|0.063|0.250|9.400|0.090|0.070|0.740|0.011|Stainless|None|
||80020S|0.063|0.310|6.700|0.090|0.100|0.740|0.011|Stainless|None|
||80021S|0.063|0.380|5.000|0.090|0.130|0.740|0.011|Stainless|None|
||80022S|0.063|0.440|4.100|0.090|0.160|0.740|0.011|Stainless|None|
||80023S|0.063|0.500|3.500|0.090|0.190|0.740|0.011|Stainless|None|
||80024S|0.063|0.630|2.700|0.090|0.240|0.740|0.011|Stainless|None|
||80025S|0.063|0.750|2.100|0.090|0.310|0.740|0.011|Stainless|None|
||80033|0.094|0.380|2.000|0.070|0.380|0.810|0.011|Music Wire|None|
||80047S|0.094|0.380|4.000|0.100|0.190|0.860|0.013|Stainless|None|
||80034|0.094|0.440|1.500|0.070|0.490|0.810|0.011|Music Wire|None|
