||12364|0.562|5.440|8.700|7.000|2.700|31.000|0.080|Spring Steel|None|
||5494|0.562|8.250|6.500|8.000|3.800|32.000|0.082|Spring Steel|Zinc|
||126|0.562|8.500|5.500|7.000|4.300|31.000|0.080|Hard Drawn|Zinc|
||5657|0.734|3.750|12.000|7.000|2.100|32.000|0.091|Spring Steel|Zinc|
||5602|0.734|5.750|7.600|7.000|3.500|33.000|0.092|Hard Drawn|Zinc|
||5595|0.734|7.880|5.200|7.000|5.200|33.000|0.092|Hard Drawn|Zinc|
||5325|0.750|2.000|31.000|6.000|0.810|31.000|0.091|Spring Steel|Zinc|
||320|0.750|2.750|21.000|6.000|1.200|31.000|0.091|Hard Drawn|Zinc|
||5350|0.750|3.380|13.000|6.000|2.000|31.000|0.091|Spring Steel|Zinc|
||5605|0.750|3.750|11.000|6.000|2.300|33.000|0.092|Hard Drawn|Zinc|
||5516|0.750|5.630|7.200|6.000|3.600|33.000|0.092|Spring Steel|Zinc|
||100|0.750|6.500|5.900|6.000|4.200|31.000|0.091|Hard Drawn|Zinc|
||636|0.750|8.500|4.200|6.000|6.000|31.000|0.091|Hard Drawn|Zinc|
||5320|0.750|11.000|3.200|6.000|7.800|31.000|0.091|Spring Steel|Zinc|
||4056|0.906|26.500|0.990|6.000|27.000|32.000|0.098|Spring Steel|None|
||80988S|1.000|2.500|33.000|3.000|0.830|31.000|0.105|Stainless|None|
||80989S|1.000|2.750|22.000|3.000|1.300|31.000|0.105|Stainless|None|
||80990S|1.000|3.000|18.000|3.000|1.500|31.000|0.105|Stainless|None|
||80991S|1.000|3.500|12.000|3.000|2.200|31.000|0.105|Stainless|None|
||80992S|1.000|4.000|9.800|3.000|2.800|31.000|0.105|Stainless|None|
||80993S|1.000|4.500|7.900|3.000|3.500|31.000|0.105|Stainless|None|
||80994S|1.000|5.000|6.700|3.000|4.100|31.000|0.105|Stainless|None|
||80995S|1.000|5.500|5.800|3.000|4.700|31.000|0.105|Stainless|None|
||80996S|1.000|6.000|5.100|3.000|5.300|31.000|0.105|Stainless|None|
||80997S|1.000|6.500|4.700|3.000|5.900|31.000|0.105|Stainless|None|
||80998S|1.000|7.000|4.300|3.000|6.400|31.000|0.105|Stainless|None|
||80999S|1.000|8.000|3.600|3.000|7.700|31.000|0.105|Stainless|None|
||81000S|1.000|9.000|3.100|3.000|8.900|31.000|0.105|Stainless|None|
||101|1.062|7.000|3.700|5.000|7.600|33.000|0.105|Hard Drawn|Zinc|
||617|1.062|12.500|1.900|5.000|15.000|33.000|0.105|Hard Drawn|Zinc|
||615|1.125|16.000|1.200|5.000|22.000|31.000|0.105|Hard Drawn|Zinc|
||373|1.156|9.000|2.200|4.000|12.000|31.000|0.105|Hard Drawn|Zinc|
||81108S|1.250|3.250|15.000|4.000|1.800|31.000|0.115|Stainless|None|
||81109S|1.250|3.500|14.000|3.000|2.000|31.000|0.115|Stainless|None|
||81110S|1.250|4.000|9.700|3.000|2.800|31.000|0.115|Stainless|None|
