110084,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 2.5 Watt, CE approved","19 mm","2.5 W","6 V","7790 rpm","3.59 mNm","USD 58.13","Details"
110085,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 2.5 Watt, CE approved","19 mm","2.5 W","9 V","9220 rpm","3.59 mNm","USD 58.13","Details"
110086,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 2.5 Watt, CE approved","19 mm","2.5 W","12 V","10300 rpm","3.49 mNm","USD 58.13","Details"
110087,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 2.5 Watt, CE approved","19 mm","2.5 W","15 V","10300 rpm","3.48 mNm","USD 58.13","Details"
110088,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 2.5 Watt, CE approved","19 mm","2.5 W","18 V","9300 rpm","3.42 mNm","USD 58.13","Details"
110089,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 2.5 Watt, CE approved","19 mm","2.5 W","24 V","8870 rpm","3.39 mNm","USD 58.13","Details"
110090,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 1.5 Watt, CE approved, with terminals","19 mm","1.5 W","1.2 V","6390 rpm","1.33 mNm","USD 59.25","Details"
110091,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 1.5 Watt, CE approved, with terminals","19 mm","1.5 W","2.4 V","7160 rpm","2.49 mNm","USD 59.25","Details"
110092,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 1.5 Watt, CE approved, with terminals","19 mm","1.5 W","3 V","6230 rpm","3.62 mNm","USD 59.25","Details"
110093,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 1.5 Watt, CE approved, with terminals","19 mm","1.5 W","4.8 V","6190 rpm","3.57 mNm","USD 59.25","Details"
110094,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 1.5 Watt, CE approved, with terminals","19 mm","1.5 W","6 V","6090 rpm","3.59 mNm","USD 59.25","Details"
110095,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 1.5 Watt, CE approved, with terminals","19 mm","1.5 W","7.2 V","6130 rpm","3.51 mNm","USD 59.25","Details"
110096,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 1.5 Watt, CE approved, with terminals","19 mm","1.5 W","9 V","6130 rpm","3.51 mNm","USD 59.25","Details"
110097,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 1.5 Watt, CE approved, with terminals","19 mm","1.5 W","12 V","6140 rpm","3.43 mNm","USD 59.25","Details"
265390,"A-max 12 Ø12 mm, Precious Metal Brushes CLL, 0.5 Watt, CE approved, with Cable","12 mm","0.5 W","6 V","12600 rpm","0.923 mNm","USD 64.75","Details"
265391,"A-max 12 Ø12 mm, Precious Metal Brushes CLL, 0.5 Watt, CE approved, with Cable","12 mm","0.5 W","9 V","11900 rpm","0.918 mNm","USD 64.75","Details"
265392,"A-max 12 Ø12 mm, Precious Metal Brushes CLL, 0.5 Watt, CE approved, with Cable","12 mm","0.5 W","12 V","12100 rpm","0.908 mNm","USD 64.75","Details"
